,Movie Title,Year Released,Duration,IMBD Rating,Votes,Description,Genre,Director,Stars
0,Insidious: The Red Door,2023,107 min,6.0,"8,251","
The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.","['\nHorror', ' Mystery', ' Thriller            ']",Patrick Wilson,"['Ty Simpkins', 'Patrick Wilson', 'Rose Byrne', 'Sinclair Daniel']"
1,From,2022– ,52 min,7.7,"46,564","
Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normalcy and seek a way out, they must also survive the threats of the surrounding forest.","['\nDrama', ' Horror', ' Mystery            ']",Harold Perrineau,"['Catalina Sandino Moreno', 'Eion Bailey', 'David Alpay']"
2,Run Rabbit Run,2023,100 min,5.0,"5,834","
Sarah Snook plays a fertility doctor who believes firmly in life and death, but after noticing the strange behavior of her young daughter, she must challenge her own values and confront a ghost from her past.","['\nHorror', ' Thriller            ']",Daina Reid,"['Sarah Snook', 'Lily LaTorre', 'Neil Melville', 'Katherine Slattery']"
3,Five Nights at Freddy's,2023,,,,"
A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift at Freddy's won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's",['\nHorror            '],Emma Tammi,"['Josh Hutcherson', 'Matthew Lillard', 'Elizabeth Lail', 'Mary Stuart Masterson']"
4,Evil Dead Rise,2023,96 min,6.6,"95,703","
A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",['\nHorror            '],Lee Cronin,"['Mirabai Pease', 'Richard Crouchley', 'Anna-Maree Thomas', 'Lily Sullivan']"
5,The Walking Dead,2010–2022,44 min,8.1,"1,035,071","
Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","['\nDrama', ' Horror', ' Thriller            ']",Andrew Lincoln,"['Norman Reedus', 'Melissa McBride', 'Lauren Cohan']"
6,The Walking Dead: Dead City,2023– ,,7.6,"6,200","
Maggie and Negan travel into a post-apocalyptic Manhattan long ago cut off from the mainland. The city is filled with the dead and denizens who have made New York City their own world.","['\nAdventure', ' Horror', ' Thriller            ']",Jeffrey Dean Morgan,"['Lauren Cohan', 'Gaius Charles', 'Zeljko Ivanek']"
7,Bone Tomahawk,2015,132 min,7.1,"108,885","
In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.","['\nDrama', ' Horror', ' Western            ']",S. Craig Zahler,"['Kurt Russell', 'Patrick Wilson', 'Matthew Fox', 'Richard Jenkins']"
8,Stranger Things,2016–2024,51 min,8.7,"1,256,071","
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","['\nDrama', ' Fantasy', ' Horror            ']",Millie Bobby Brown,"['Finn Wolfhard', 'Winona Ryder', 'David Harbour']"
9,Supernatural,2005–2020,44 min,8.4,"461,985","
Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.","['\nDrama', ' Fantasy', ' Horror            ']",Jared Padalecki,"['Jensen Ackles', 'Jim Beaver', 'Misha Collins']"
10,Yellowjackets,2021– ,60 min,7.8,"70,953","
A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Canadian wilderness.","['\nDrama', ' Horror', ' Mystery            ']",Melanie Lynskey,"['Tawny Cypress', 'Sophie Nélisse', 'Jasmin Savoy Brown']"
11,The Last of Us,2023– ,50 min,8.8,"434,137","
After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","['\nAction', ' Adventure', ' Drama            ']",Pedro Pascal,"['Bella Ramsey', 'Anna Torv', 'Lamar Johnson']"
12,X,II 2022,105 min,6.6,"136,021","
In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","['\nHorror', ' Mystery', ' Thriller            ']",Ti West,"['Mia Goth', 'Jenna Ortega', 'Brittany Snow', 'Kid Cudi']"
13,Shingeki no Kyojin,2013–2023,24 min,9.1,"418,622","
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","['\nAnimation', ' Action', ' Adventure            ']",Josh Grelle,"['Bryce Papenbrook', 'Yûki Kaji', 'Yui Ishikawa']"
14,Beau Is Afraid,2023,179 min,6.9,"30,786","
Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.","['\nComedy', ' Drama', ' Horror            ']",Ari Aster,"['Joaquin Phoenix', 'Patti LuPone', 'Amy Ryan', 'Nathan Lane']"
15,Haunted Mansion,2023,122 min,,,"
A single mom named Gabbie hires a tour guide, a psychic, a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts.","['\nComedy', ' Drama', ' Family            ']",Justin Simien,"['Jamie Lee Curtis', 'Winona Ryder', 'Rosario Dawson', 'Jared Leto']"
16,Insidious,I 2010,103 min,6.8,"322,547","
A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.","['\nHorror', ' Mystery', ' Thriller            ']",James Wan,"['Patrick Wilson', 'Rose Byrne', 'Ty Simpkins', 'Lin Shaye']"
17,The Horror of Dolores Roach,2023– ,,7.2,"1,355","
When Dolores Roach is released after an unjust prison sentence, she reunites with an old friend who lets her work as a masseuse. When the promise of her newfound stability is threatened, Dolores is driven to shocking extremes to survive.","['\nComedy', ' Horror            ']",Justina Machado,"['Alejandro Hernandez', 'K. Todd Freeman', 'Kita Updike']"
18,Infinity Pool,2023,117 min,6.1,"35,532","
James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.","['\nCrime', ' Horror', ' Mystery            ']",Brandon Cronenberg,"['Alexander Skarsgård', 'Mia Goth', 'Cleopatra Coleman', 'Dunja Sepcic']"
19,Annihilation,I 2018,115 min,6.8,"342,664","
A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","['\nAdventure', ' Drama', ' Horror            ']",Alex Garland,"['Natalie Portman', 'Jennifer Jason Leigh', 'Tessa Thompson', 'Benedict Wong']"
20,The Car,1977,96 min,6.1,"11,178","
A small desert town is terrorized by a powerful, seemingly possessed car, and the local sheriff may be the only one who can stop it.","['\nAction', ' Horror', ' Mystery            ']",Elliot Silverstein,"['James Brolin', 'Kathleen Lloyd', 'John Marley', 'R.G. Armstrong']"
21,American Horror Story,2011– ,60 min,8.0,"328,651","
An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert valley, and NYC.","['\nDrama', ' Horror', ' Sci-Fi            ']",Lady Gaga,"['Kathy Bates', 'Angela Bassett', 'Sarah Paulson']"
22,The Blackening,2022,97 min,6.1,"5,591","
Seven Black friends go away for the weekend and end up trapped in a cabin with a killer who has a vendetta. Will their street smarts and knowledge of horror movies help them stay alive? Probably not.","['\nComedy', ' Horror', ' Thriller            ']",Tim Story,"['Grace Byers', 'Jermaine Fowler', 'Melvin Gregg', 'X Mayo']"
23,M3GAN,2022,102 min,6.4,"111,757","
A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.","['\nHorror', ' Sci-Fi', ' Thriller            ']",Gerard Johnstone,"['Allison Williams', 'Violet McGraw', 'Ronny Chieng', 'Amie Donald']"
24,Fear the Walking Dead,2015–2023,44 min,6.8,"136,609","
A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.","['\nDrama', ' Horror', ' Sci-Fi            ']",Kim Dickens,"['Frank Dillane', 'Cliff Curtis', 'Rubén Blades']"
25,Renfield,2023,93 min,6.4,"56,414","
Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.","['\nComedy', ' Fantasy', ' Horror            ']",Chris McKay,"['Nicholas Hoult', 'Nicolas Cage', 'Awkwafina', 'Ben Schwartz']"
26,Nefarious,II 2023,97 min,6.4,"11,889","
On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.","['\nHorror', ' Thriller            ']",Chuck Konzelman,"['Cary Solomon', 'Sean Patrick Flanery', 'Jordan Belfi', 'Cameron Arnett', 'Tom Ohmer']"
27,The Menu,2022,107 min,7.2,"331,291","
A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.","['\nComedy', ' Horror', ' Thriller            ']",Mark Mylod,"['Ralph Fiennes', 'Anya Taylor-Joy', 'Nicholas Hoult', 'Hong Chau']"
28,The Twilight Zone,1959–1964,51 min,9.1,"88,114","
Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","['\nDrama', ' Fantasy', ' Horror            ']",Rod Serling,"['Robert McCord', 'Jay Overholts', 'James Turley']"
29,Midsommar,2019,148 min,7.1,"358,643","
A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.","['\nDrama', ' Horror', ' Mystery            ']",Ari Aster,"['Florence Pugh', 'Jack Reynor', 'Vilhelm Blomgren', 'William Jackson Harper']"
30,The Nun II,2023,,,,"
1956 - France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit follows Sister Irene as she once again comes face-to-face with Valak, the demon nun.","['\nHorror', ' Mystery', ' Thriller            ']",Michael Chaves,"['Taissa Farmiga', 'Bonnie Aarons', 'Storm Reid', 'Anna Popplewell']"
31,The Vampire Diaries,2009–2017,43 min,7.7,"333,594","
The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","['\nDrama', ' Fantasy', ' Horror            ']",Nina Dobrev,"['Paul Wesley', 'Ian Somerhalder', 'Kat Graham']"
32,Delete,2023– ,45 min,6.3,728,"
A complicated relationship with secrets to hide, and a grim question to ponder: who do you want to delete from your life?","['\nDrama', ' Horror', ' Romance            ']",Natara Nopparatayapon,"['Nat Kitcharit', 'Sarika Sartsilpsupa', 'Chutimon Chuengcharoensukying']"
33,Scream VI,2023,122 min,6.6,"87,499","
In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.","['\nHorror', ' Mystery', ' Thriller            ']",Matt Bettinelli-Olpin,"['Tyler Gillett', 'Courteney Cox', 'Melissa Barrera', 'Jenna Ortega', 'Jasmin Savoy Brown']"
34,The Boogeyman,I 2023,98 min,6.1,"10,889","
Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late.","['\nHorror', ' Mystery', ' Thriller            ']",Rob Savage,"['Sophie Thatcher', 'Chris Messina', 'Vivien Lyra Blair', 'David Dastmalchian']"
35,What We Do in the Shadows,2019– ,30 min,8.6,"86,148","
A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.","['\nComedy', ' Fantasy', ' Horror            ']",Kayvan Novak,"['Matt Berry', 'Natasia Demetriou', 'Harvey Guillén']"
36,Little Bone Lodge,2023,93 min,6.2,"1,466","
Set during a very vicious storm, two criminal brothers on the run seek refuge in a desolate farmhouse. Taking the resident family captive, they find the house holds dark secrets of its own.","['\nCrime', ' Horror', ' Thriller            ']",Matthias Hoene,"['Joely Richardson', 'Neil Linpow', 'Sadie Soverall', 'Harry Cadby']"
37,The Pope's Exorcist,2023,103 min,6.1,"45,279","
Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.","['\nHorror', ' Thriller            ']",Julius Avery,"['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe', 'Franco Nero']"
38,Pearl,2022,103 min,7.0,"64,280","
In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.","['\nDrama', ' Horror', ' Thriller            ']",Ti West,"['Mia Goth', 'David Corenswet', 'Tandi Wright', 'Matthew Sunderland']"
39,Alien,1979,117 min,8.5,"908,877","
The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.","['\nHorror', ' Sci-Fi            ']",Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
40,The Meg,2018,113 min,5.6,"182,795","
A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.","['\nAction', ' Horror', ' Sci-Fi            ']",Jon Turteltaub,"['Jason Statham', 'Bingbing Li', 'Rainn Wilson', 'Cliff Curtis']"
41,Beetlejuice 2,2024,,,,"
This is a follow-up to the comedy Beetle Juice (1988), about a ghost who's recruited to help haunt a house.","['\nComedy', ' Fantasy', ' Horror            ']",Tim Burton,"['Jenna Ortega', 'Monica Bellucci', 'Michael Keaton', 'Winona Ryder']"
42,Old,2021,108 min,5.8,"142,351","
A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","['\nDrama', ' Horror', ' Mystery            ']",M. Night Shyamalan,"['Gael García Bernal', 'Vicky Krieps', 'Rufus Sewell', 'Alex Wolff']"
43,The Wrath of Becky,2023,84 min,6.0,"4,751","
Two years after escaping a violent attack, a teenage girl must defend herself against a terrorist cell.","['\nAction', ' Horror', ' Thriller            ']",Matt Angel,"['Suzanne Coote', 'Lulu Wilson', 'Seann William Scott', 'Denise Burse', 'Jill Larson']"
44,Barbarian,2022,102 min,7.0,"153,071","
A woman staying at an Airbnb discovers that the house she has rented is not what it seems.","['\nHorror', ' Mystery', ' Thriller            ']",Zach Cregger,"['Georgina Campbell', 'Bill Skarsgård', 'Justin Long', 'Matthew Patrick Davis']"
45,Talk to Me,I 2022,94 min,7.4,944,"
When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","['\nHorror', ' Thriller            ']",Danny Philippou,"['Michael Philippou', 'Sophie Wilde', 'Joe Bird', 'Alexandra Jensen', 'Otis Dhanji']"
46,Hannibal,2013–2015,44 min,8.5,"264,106","
Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.","['\nCrime', ' Drama', ' Horror            ']",Hugh Dancy,"['Mads Mikkelsen', 'Caroline Dhavernas', 'Laurence Fishburne']"
47,Insidious: The Last Key,2018,103 min,5.7,"65,308","
Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home where the terror began.","['\nHorror', ' Mystery', ' Thriller            ']",Adam Robitel,"['Lin Shaye', 'Leigh Whannell', 'Angus Sampson', 'Kirk Acevedo']"
48,Nope,2022,130 min,6.8,"235,759","
The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.","['\nHorror', ' Mystery', ' Sci-Fi            ']",Jordan Peele,"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea', 'Michael Wincott']"
49,The Shining,1980,146 min,8.4,"1,056,096","
A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","['\nDrama', ' Horror            ']",Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
